Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales,Month
ORD-10062,2025-02-20,C1052,Webcam,Electronics,South,5,3223.43,16117.15,2025-02
ORD-10063,2025-02-20,C1077,Keyboard,Accessories,East,5,1883.63,9418.150000000001,2025-02
ORD-10064,2025-02-21,C1069,Usb Hub,Electronics,South,1,1095.0,1095.0,2025-02
ORD-10065,2025-02-22,Unknown,Keyboard,Accessories,South,4,1775.46,7101.84,2025-02
ORD-10066,2025-02-23,C1036,Keyboard,Accessories,West,1,1687.75,1687.75,2025-02
ORD-10067,2025-02-24,C1042,Usb Hub,Electronics,North,4,1137.87,4551.48,2025-02
ORD-10068,2025-02-25,C1020,Keyboard,Accessories,East,1,1677.38,1677.38,2025-02
ORD-10069,2025-02-25,C1022,Laptop,Electronics,East,3,68461.04,90730.79625000001,2025-02
ORD-10070,2025-02-26,C1019,Monitor,Electronics,South,4,13041.88,52167.52,2025-02
ORD-10071,2025-02-27,C1079,Webcam,Electronics,West,4,3293.83,13175.32,2025-02
ORD-10072,2025-02-28,C1059,Mouse,Accessories,South,3,879.39,2638.17,2025-02
ORD-10073,2025-03-01,C1067,Monitor,Electronics,West,5,12435.81,62179.049999999996,2025-03
ORD-10074,2025-03-02,C1065,Laptop,Electronics,South,4,63394.9,90730.79625000001,2025-03
ORD-10075,2025-03-02,C1076,Headphones,Accessories,East,3,2687.11,8061.33,2025-03
ORD-10076,2025-03-03,C1009,Monitor,Electronics,East,4,10241.85,40967.4,2025-03
ORD-10077,2025-03-04,C1070,Keyboard,Accessories,West,4,1790.04,7160.16,2025-03
ORD-10078,2025-03-05,C1006,Mouse,Accessories,South,2,756.66,1513.32,2025-03
ORD-10079,2025-03-06,C1038,Monitor,Electronics,South,4,10564.74,42258.96,2025-03
ORD-10080,2025-03-06,C1047,Headphones,Accessories,North,5,2772.77,13863.85,2025-03
ORD-10081,2025-03-07,C1029,Usb Hub,Electronics,South,5,1178.78,5893.9,2025-03
ORD-10082,2025-03-08,C1012,Monitor,Electronics,West,4,11309.3,45237.2,2025-03
ORD-10083,2025-03-09,C1016,Mouse,Accessories,North,4,791.82,3167.28,2025-03
ORD-10084,2025-03-10,C1066,Webcam,Electronics,West,2,2441.08,4882.16,2025-03
ORD-10085,2025-03-11,C1026,Headphones,Accessories,East,4,2391.3,9565.2,2025-03
ORD-10086,2025-03-11,C1025,Headphones,Accessories,Unknown,2,2984.08,5968.16,2025-03
ORD-10087,2025-03-12,C1073,Laptop,Electronics,South,3,67261.4,90730.79625000001,2025-03
ORD-10088,2025-03-13,C1012,Keyboard,Accessories,East,2,1719.42,3438.84,2025-03
ORD-10089,2025-03-14,C1073,Webcam,Electronics,South,2,3319.06,6638.12,2025-03
ORD-10090,2025-03-15,Unknown,Webcam,Electronics,North,1,2800.39,2800.39,2025-03
ORD-10091,2025-03-15,Unknown,Monitor,Electronics,East,5,11714.57,58572.85,2025-03
ORD-10092,2025-03-16,C1014,Webcam,Electronics,East,3,3225.47,9676.41,2025-03
ORD-10093,2025-03-17,C1013,Webcam,Electronics,North,1,3177.96,3177.96,2025-03
ORD-10094,2025-03-18,C1023,Keyboard,Accessories,South,5,1913.88,9569.400000000001,2025-03
ORD-10095,2025-03-19,C1046,Usb Hub,Electronics,North,3,1130.33,3390.99,2025-03
ORD-10096,2025-03-20,C1013,Keyboard,Accessories,East,3,1896.24,5688.72,2025-03
ORD-10097,2025-03-20,C1036,Mouse,Accessories,East,3,850.44,2551.32,2025-03
ORD-10098,2025-03-21,C1010,Headphones,Accessories,East,3,2679.56,8038.68,2025-03
ORD-10099,2025-03-22,C1043,Headphones,Accessories,West,1,2825.79,2825.79,2025-03
ORD-10100,2025-03-23,C1002,Laptop,Electronics,West,4,59955.22,90730.79625000001,2025-03
ORD-10101,2025-03-24,C1057,Webcam,Electronics,South,1,2972.75,2972.75,2025-03
ORD-10102,2025-03-25,C1005,Mouse,Accessories,North,3,996.18,2988.54,2025-03
ORD-10103,2025-03-25,C1016,Webcam,Electronics,East,5,3151.02,15755.1,2025-03
ORD-10104,2025-03-26,C1014,Laptop,Electronics,West,5,72299.87,90730.79625000001,2025-03
ORD-10105,2025-03-27,C1066,Webcam,Electronics,West,2,3086.71,6173.42,2025-03
ORD-10106,2025-03-28,C1005,Webcam,Electronics,North,4,3572.49,14289.96,2025-03
ORD-10107,2025-03-29,C1034,Webcam,Electronics,North,4,3233.66,12934.64,2025-03
ORD-10108,2025-03-29,C1047,Headphones,Accessories,North,3,2551.65,7654.950000000001,2025-03
ORD-10109,2025-03-30,C1041,Monitor,Electronics,Unknown,1,13502.13,13502.13,2025-03
ORD-10110,2025-03-31,C1054,Headphones,Accessories,East,2,2427.65,4855.3,2025-03
ORD-10111,2025-04-01,C1064,Mouse,Accessories,East,4,832.24,3328.96,2025-04
ORD-10112,2025-04-02,C1032,Webcam,Electronics,South,5,3085.17,15425.85,2025-04
ORD-10113,2025-04-03,C1066,Monitor,Electronics,South,1,12434.24,12434.24,2025-04
ORD-10114,2025-04-03,C1026,Monitor,Electronics,West,4,10496.87,41987.48,2025-04
ORD-10115,2025-04-04,Unknown,Monitor,Electronics,South,5,12611.97,63059.85,2025-04
ORD-10116,2025-04-05,C1040,Monitor,Electronics,West,5,11482.78,57413.9,2025-04
ORD-10117,2025-04-06,C1059,Laptop,Electronics,West,3,70968.63,90730.79625000001,2025-04
ORD-10118,2025-04-07,C1070,Laptop,Electronics,South,1,52549.85,52549.85,2025-04
ORD-10119,2025-04-07,C1063,Mouse,Accessories,North,2,843.37,1686.74,2025-04
ORD-10120,2025-04-08,C1068,Laptop,Electronics,West,5,56230.37,90730.79625000001,2025-04
ORD-10121,2025-04-09,C1043,Monitor,Electronics,East,5,11206.82,56034.1,2025-04
ORD-10122,2025-04-10,C1004,Headphones,Accessories,South,4,2545.84,10183.36,2025-04
ORD-10123,2025-04-11,C1039,Headphones,Accessories,East,1,2464.15,2464.15,2025-04
ORD-10124,2025-04-12,C1015,Monitor,Electronics,East,1,11756.76,11756.76,2025-04
ORD-10125,2025-04-12,C1071,Webcam,Electronics,West,3,3159.25,9477.75,2025-04
ORD-10126,2025-04-13,C1019,Monitor,Electronics,South,3,12195.25,36585.75,2025-04
ORD-10127,2025-04-14,C1019,Laptop,Electronics,West,3,59755.61,90730.79625000001,2025-04
ORD-10128,2025-04-15,C1020,Webcam,Electronics,West,4,3380.95,13523.8,2025-04
ORD-10129,2025-04-16,C1051,Headphones,Accessories,Unknown,3,2545.84,7637.52,2025-04
ORD-10130,2025-04-17,C1046,Headphones,Accessories,North,1,2577.01,2577.01,2025-04
ORD-10131,2025-04-17,C1075,Monitor,Electronics,East,1,12534.27,12534.27,2025-04
ORD-10132,2025-04-18,C1033,Monitor,Electronics,North,3,12284.56,36853.68,2025-04
ORD-10133,2025-04-19,C1023,Laptop,Electronics,South,4,75582.38,90730.79625000001,2025-04
ORD-10134,2025-04-20,C1004,Monitor,Electronics,South,5,11916.39,59581.95,2025-04
ORD-10135,2025-04-21,C1001,Webcam,Electronics,West,3,3121.39,9364.17,2025-04
ORD-10136,2025-04-21,C1030,Keyboard,Accessories,West,2,1691.49,3382.98,2025-04
ORD-10137,2025-04-22,C1074,Headphones,Accessories,North,5,2293.55,11467.75,2025-04
ORD-10138,2025-04-23,C1042,Laptop,Electronics,West,3,58528.75,90730.79625000001,2025-04
ORD-10139,2025-04-24,Unknown,Keyboard,Accessories,North,2,1672.01,3344.02,2025-04
ORD-10140,2025-04-25,C1009,Monitor,Electronics,East,3,11932.15,35796.45,2025-04
ORD-10141,2025-04-26,C1008,Usb Hub,Electronics,West,1,1129.42,1129.42,2025-04
ORD-10142,2025-04-26,C1066,Mouse,Accessories,West,2,903.68,1807.36,2025-04
ORD-10143,2025-04-27,C1009,Mouse,Accessories,North,3,844.88,2534.64,2025-04
ORD-10144,2025-04-28,C1005,Keyboard,Accessories,West,5,1929.63,9648.150000000001,2025-04
ORD-10145,2025-04-29,C1032,Usb Hub,Electronics,North,4,1165.07,4660.28,2025-04
ORD-10146,2025-04-30,C1074,Webcam,Electronics,East,4,3159.13,12636.52,2025-04
ORD-10147,2025-05-01,C1055,Laptop,Electronics,South,20,492838.72,90730.79625000001,2025-05
ORD-10148,2025-05-01,C1008,Mouse,Accessories,South,1,939.49,939.49,2025-05
ORD-10149,2025-05-02,C1067,Webcam,Electronics,North,2,3155.075,6310.15,2025-05
ORD-10150,2025-05-03,C1067,Laptop,Electronics,Unknown,5,57469.74,90730.79625000001,2025-05
ORD-10151,2025-05-04,C1064,Webcam,Electronics,South,1,3182.6,3182.6,2025-05
ORD-10152,2025-05-05,C1072,Mouse,Accessories,East,5,918.87,4594.35,2025-05
ORD-10153,2025-05-05,C1019,Usb Hub,Electronics,South,4,1020.83,4083.32,2025-05
ORD-10154,2025-05-06,C1078,Keyboard,Accessories,South,2,1827.34,3654.68,2025-05
ORD-10155,2025-05-07,C1026,Monitor,Electronics,West,4,10603.37,42413.48,2025-05
ORD-10156,2025-05-08,C1064,Headphones,Accessories,North,5,2767.24,13836.199999999999,2025-05
ORD-10157,2025-05-09,C1046,Laptop,Electronics,East,1,71489.34,71489.34,2025-05
ORD-10158,2025-05-10,C1062,Monitor,Electronics,Unknown,1,11757.58,11757.58,2025-05
ORD-10159,2025-05-10,C1050,Monitor,Electronics,South,4,12348.92,49395.68,2025-05
ORD-10160,2025-05-11,C1051,Webcam,Electronics,South,5,2583.06,12915.3,2025-05
ORD-10161,2025-05-12,C1049,Usb Hub,Electronics,North,1,998.24,998.24,2025-05
ORD-10162,2025-05-13,C1062,Headphones,Accessories,West,4,2441.24,9764.96,2025-05
ORD-10163,2025-05-14,C1059,Keyboard,Accessories,West,1,1645.61,1645.61,2025-05
ORD-10164,2025-05-14,C1011,Keyboard,Accessories,North,4,1902.87,7611.48,2025-05
ORD-10165,2025-05-15,C1066,Keyboard,Accessories,North,4,2087.61,8350.44,2025-05
ORD-10166,2025-05-16,C1043,Webcam,Electronics,North,1,2898.79,2898.79,2025-05
ORD-10167,2025-05-17,C1026,Keyboard,Accessories,North,4,1679.41,6717.64,2025-05
ORD-10168,2025-05-18,C1041,Mouse,Accessories,West,5,916.95,4584.75,2025-05
ORD-10169,2025-05-19,C1077,Keyboard,Accessories,West,5,2032.0,10160.0,2025-05
ORD-10170,2025-05-19,Unknown,Laptop,Electronics,North,1,58643.65,58643.65,2025-05
ORD-10171,2025-05-20,C1066,Laptop,Electronics,East,3,66294.99,90730.79625000001,2025-05
ORD-10172,2025-05-21,C1037,Laptop,Electronics,North,2,74470.75,90730.79625000001,2025-05
ORD-10173,2025-05-22,Unknown,Webcam,Electronics,South,3,2777.15,8331.45,2025-05
ORD-10174,2025-05-23,C1031,Webcam,Electronics,East,1,2872.05,2872.05,2025-05
ORD-10175,2025-05-24,C1055,Headphones,Accessories,East,5,2415.28,12076.400000000001,2025-05
ORD-10176,2025-05-24,C1051,Monitor,Electronics,West,4,11500.24,46000.96,2025-05
ORD-10177,2025-05-25,C1020,Webcam,Electronics,North,5,3408.03,17040.15,2025-05
ORD-10178,2025-05-26,C1022,Mouse,Accessories,North,1,917.4,917.4,2025-05
ORD-10179,2025-05-27,C1005,Usb Hub,Electronics,South,1,943.8,943.8,2025-05
ORD-10180,2025-05-28,C1012,Monitor,Electronics,South,5,12494.79,62473.950000000004,2025-05
ORD-10181,2025-05-28,C1035,Usb Hub,Electronics,West,2,1049.18,2098.36,2025-05
ORD-10182,2025-05-29,C1038,Mouse,Accessories,West,4,991.76,3967.04,2025-05
ORD-10183,2025-05-30,C1014,Monitor,Electronics,South,5,11397.52,56987.600000000006,2025-05
ORD-10184,2025-05-31,C1033,Headphones,Accessories,West,1,2372.68,2372.68,2025-05
ORD-10185,2025-06-01,C1048,Monitor,Electronics,South,1,12519.49,12519.49,2025-06
ORD-10186,2025-06-02,C1019,Monitor,Electronics,East,1,12732.41,12732.41,2025-06
ORD-10187,2025-06-02,C1027,Mouse,Accessories,South,1,932.26,932.26,2025-06
ORD-10188,2025-06-03,C1030,Keyboard,Accessories,North,1,1557.27,1557.27,2025-06
ORD-10189,2025-06-04,C1040,Mouse,Accessories,West,5,938.74,4693.7,2025-06
ORD-10190,2025-06-05,C1029,Keyboard,Accessories,North,4,1651.06,6604.24,2025-06
ORD-10191,2025-06-06,C1059,Headphones,Accessories,North,5,2547.06,12735.3,2025-06
ORD-10192,2025-06-06,C1026,Headphones,Accessories,North,5,2215.25,11076.25,2025-06
ORD-10193,2025-06-07,C1035,Headphones,Accessories,South,5,2589.26,12946.300000000001,2025-06
ORD-10194,2025-06-08,C1030,Keyboard,Accessories,North,2,1683.85,3367.7,2025-06
ORD-10195,2025-06-09,C1015,Usb Hub,Electronics,North,3,987.13,2961.39,2025-06
ORD-10196,2025-06-10,C1055,Laptop,Electronics,East,5,68711.86,90730.79625000001,2025-06
ORD-10197,2025-06-11,C1019,Keyboard,Accessories,West,2,1834.8,3669.6,2025-06
ORD-10198,2025-06-11,C1024,Laptop,Electronics,North,20,494458.56,90730.79625000001,2025-06
ORD-10199,2025-06-12,C1063,Keyboard,Accessories,South,4,2008.97,8035.88,2025-06
ORD-10200,2025-06-13,C1075,Usb Hub,Electronics,East,5,1061.22,5306.1,2025-06
ORD-10201,2025-06-14,C1053,Keyboard,Accessories,West,5,1804.62,9023.099999999999,2025-06
ORD-10202,2025-06-15,C1073,Usb Hub,Electronics,Unknown,5,1123.66,5618.3,2025-06
ORD-10203,2025-06-16,C1068,Monitor,Electronics,West,1,11405.12,11405.12,2025-06
ORD-10204,2025-06-16,C1038,Headphones,Accessories,East,4,2594.23,10376.92,2025-06
ORD-10205,2025-06-17,C1061,Monitor,Electronics,South,5,11487.89,57439.45,2025-06
ORD-10206,2025-06-18,C1026,Mouse,Accessories,North,4,870.36,3481.44,2025-06
ORD-10207,2025-06-19,C1037,Webcam,Electronics,West,5,3548.84,17744.2,2025-06
ORD-10208,2025-06-20,C1043,Usb Hub,Electronics,West,5,1008.43,5042.15,2025-06
ORD-10209,2025-06-20,C1076,Mouse,Accessories,North,3,726.28,2178.84,2025-06
ORD-10210,2025-06-21,C1068,Webcam,Electronics,East,1,3612.4,3612.4,2025-06
ORD-10211,2025-06-22,C1039,Mouse,Accessories,North,3,1083.55,3250.6499999999996,2025-06
ORD-10212,2025-06-23,C1052,Webcam,Electronics,East,3,3096.25,9288.75,2025-06
ORD-10213,2025-06-24,C1016,Webcam,Electronics,West,1,2704.17,2704.17,2025-06
ORD-10214,2025-06-25,C1064,Monitor,Electronics,North,1,11701.94,11701.94,2025-06
ORD-10215,2025-06-25,C1044,Webcam,Electronics,South,4,3126.73,12506.92,2025-06
ORD-10216,2025-06-26,Unknown,Mouse,Accessories,North,3,886.33,2658.9900000000002,2025-06
ORD-10217,2025-06-27,C1061,Laptop,Electronics,East,3,68237.38,90730.79625000001,2025-06
ORD-10218,2025-06-28,C1051,Laptop,Electronics,West,4,68013.72,90730.79625000001,2025-06
ORD-10219,2025-06-29,C1006,Monitor,Electronics,North,3,12503.53,37510.590000000004,2025-06
ORD-10220,2025-06-30,C1023,Usb Hub,Electronics,South,4,968.49,3873.96,2025-06
