Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales
ORD-10079,2025-03-06,C1038,Monitor,Electronics,South,4.0,10564.74,42258.97
ORD-10080,2025-03-06,C1047,Headphones,Accessories,North,5.0,2772.77,13863.86
ORD-10081,2025-03-07,C1029,USB Hub,Electronics,South,5.0,1178.78,5893.88
ORD-10082,2025-03-08,C1012,Monitor,Electronics,West,4.0,11309.3,45237.2
ORD-10083,2025-03-09,C1016,Mouse,Accessories,North,4.0,791.82,3167.28
ORD-10084,2025-03-10,C1066,webcam,Electronics,West,2.0,2441.08,4882.16
ORD-10085,2025-03-11,C1026,Headphones,Accessories,East,4.0,2391.3,9565.2
ORD-10086,2025-03-11,C1025,Headphones,Accessories,,2.0,2984.08,5968.17
ORD-10087,2025-03-12,C1073,Laptop,Electronics,South,3.0,67261.4,201784.19
ORD-10088,2025-03-13,C1012,Keyboard,Accessories,East,2.0,1719.42,3438.84
ORD-10089,2025-03-14,C1073,Webcam,Electronics,South,2.0,3319.06,6638.12
ORD-10090,2025-03-15,,Webcam,Electronics,North,1.0,2800.39,2800.39
ORD-10091,2025-03-15,,Monitor,Electronics,East,5.0,11714.57,58572.85
ORD-10092,2025-03-16,C1014,Webcam,Electronics,East,,3225.47,3225.47
ORD-10093,2025-03-17,C1013,Webcam,Electronics,North,1.0,3177.96,3177.96
ORD-10094,2025-03-18,C1023,Keyboard,Accessories,South,5.0,1913.88,9569.38
ORD-10095,2025-03-19,C1046,USB Hub,Electronics,North,3.0,1130.33,3390.99
ORD-10096,2025-03-20,C1013,Keyboard,Accessories,East,3.0,1896.24,5688.72
ORD-10097,2025-03-20,C1036,Mouse,Accessories,East,-2.0,850.44,3401.75
ORD-10098,2025-03-21,C1010,Headphones,Accessories,East,,2679.56,5359.13
ORD-10099,2025-03-22,C1043,Headphones,Accessories,West,1.0,2825.79,2825.79
ORD-10100,2025-03-23,C1002,Laptop,Electronics,West,4.0,59955.22,239820.89
ORD-10101,2025-03-24,C1057,Webcam,Electronics,South,1.0,2972.75,2972.75
ORD-10102,2025-03-25,C1005,Mouse,Accessories,North,3.0,996.18,2988.53
ORD-10103,2025-03-25,C1016,Webcam,Electronics,East,5.0,3151.02,15755.08
ORD-10104,2025-03-26,C1014,Laptop,Electronics,West,5.0,72299.87,361499.36
ORD-10105,2025-03-27,C1066,Webcam,Electronics,West,2.0,3086.71,6173.42
ORD-10106,2025-03-28,C1005,Webcam,Electronics,North,4.0,3572.49,14289.97
ORD-10107,2025-03-29,C1034,Webcam,Electronics,North,4.0,3233.66,12934.64
ORD-10108,2025-03-29,C1047,Headphones,Accessories,North,3.0,2551.65,7654.94
ORD-10109,2025-03-30,C1041,Monitor,Electronics,,1.0,13502.13,13502.13
ORD-10110,2025-03-31,C1054,Headphones,Accessories,East,2.0,2427.65,4855.29
ORD-10111,2025-04-01,C1064,Mouse,Accessories,East,4.0,832.24,3328.96
ORD-10112,2025-04-02,C1032,Webcam,Electronics,South,5.0,3085.17,15425.84
ORD-10113,2025-04-03,C1066,Monitor,Electronics,South,1.0,12434.24,12434.24
ORD-10114,2025-04-03,C1026,Monitor,Electronics,West,4.0,10496.87,41987.49
ORD-10115,2025-04-04,,Monitor,Electronics,South,5.0,12611.97,63059.86
ORD-10116,2025-04-05,C1040,Monitor,Electronics,West,5.0,11482.78,57413.9
ORD-10117,2025-04-06,C1059,Laptop,Electronics,West,3.0,70968.63,212905.88
ORD-10118,2025-04-07,C1070,Laptop,Electronics,South,1.0,52549.85,52549.85
ORD-10119,2025-04-07,C1063,Mouse,Accessories,North,2.0,843.37,1686.73
ORD-10120,2025-04-08,C1068,Laptop,Electronics,West,5.0,56230.37,281151.83
ORD-10121,2025-04-09,C1043,Monitor,Electronics,East,5.0,11206.82,56034.1
ORD-10122,2025-04-10,C1004,headphones,Accessories,South,4.0,,10198.13
ORD-10123,2025-04-11,C1039,Headphones,Accessories,East,1.0,2464.15,2464.15
ORD-10124,2025-04-12,C1015,Monitor,Electronics,East,1.0,11756.76,11756.76
ORD-10125,2025-04-12,C1071,Webcam,Electronics,West,3.0,3159.25,9477.75
ORD-10126,2025-04-13,C1019,Monitor,Electronics,South,3.0,12195.25,36585.76
ORD-10127,2025-04-14,C1019,Laptop,Electronics,West,-2.0,59755.61,59755.61
ORD-10128,2025-04-15,C1020,Webcam,Electronics,West,4.0,3380.95,13523.81
ORD-10129,2025-04-16,C1051,Headphones,Accessories,,3.0,-500.0,7897.6
ORD-10130,2025-04-17,C1046,Headphones,Accessories,North,1.0,2577.01,2577.01
ORD-10131,2025-04-17,C1075,Monitor,Electronics,East,1.0,12534.27,12534.27
ORD-10132,2025-04-18,C1033,Monitor,Electronics,North,3.0,12284.56,36853.68
ORD-10133,2025-04-19,C1023,Laptop,Electronics,South,4.0,75582.38,302329.52
ORD-10134,2025-04-20,C1004,Monitor,Electronics,South,5.0,11916.39,59581.95
ORD-10135,2025-04-21,C1001,Webcam,Electronics,West,3.0,3121.39,9364.16
ORD-10136,2025-04-21,C1030,Keyboard,Accessories,West,2.0,1691.49,3382.98
ORD-10137,2025-04-22,C1074,Headphones,Accessories,North,5.0,2293.55,11467.74
ORD-10138,2025-04-23,C1042,Laptop,Electronics,West,3.0,58528.75,175586.24
ORD-10139,2025-04-24,,Keyboard,Accessories,North,2.0,1672.01,3344.03
ORD-10140,2025-04-25,C1009,Monitor,Electronics,East,-2.0,11932.15,35796.44
ORD-10141,2025-04-26,C1008,USB Hub,Electronics,West,1.0,1129.42,1129.42
ORD-10142,2025-04-26,C1066,Mouse,Accessories,West,2.0,903.68,1807.36
ORD-10143,2025-04-27,C1009,Mouse,Accessories,North,3.0,844.88,2534.64
ORD-10144,2025-04-28,C1005,Keyboard,Accessories,West,5.0,1929.63,9648.13
ORD-10145,2025-04-29,C1032,USB Hub,Electronics,North,4.0,1165.07,4660.27
ORD-10146,2025-04-30,C1074,Webcam,Electronics,East,4.0,3159.13,12636.52
ORD-10147,2025-05-01,C1055,Laptop,Electronics,South,20.0,492838.72,184814.51
ORD-10148,2025-05-01,C1008,Mouse,Accessories,South,1.0,939.49,939.49
ORD-10149,2025-05-02,C1067,Webcam,Electronics,North,2.0,-500.0,6496.24
ORD-10150,2025-05-03,C1067,Laptop,Electronics,,5.0,57469.74,287348.69
ORD-10151,2025-05-04,C1064,Webcam,Electronics,South,1.0,3182.6,3182.6
ORD-10152,2025-05-05,C1072,Mouse,Accessories,East,5.0,918.87,4594.33
ORD-10153,2025-05-05,C1019,USB Hub,Electronics,South,4.0,1020.83,4083.31
ORD-10154,2025-05-06,C1078,Keyboard,Accessories,South,2.0,1827.34,3654.67
ORD-10155,2025-05-07,C1026,Monitor,Electronics,West,4.0,10603.37,42413.48
ORD-10156,2025-05-08,C1064,Headphones,Accessories,North,5.0,2767.24,13836.19
ORD-10157,2025-05-09,C1046,Laptop,Electronics,East,1.0,71489.34,71489.34
ORD-10158,2025-05-10,C1062,Monitor,Electronics,,1.0,11757.58,11757.58
ORD-10159,2025-05-10,C1050,Monitor,Electronics,South,4.0,12348.92,49395.66
ORD-10160,2025-05-11,C1051,Webcam,Electronics,South,5.0,2583.06,12915.3
ORD-10161,2025-05-12,C1049,USB Hub,Electronics,North,1.0,998.24,998.24
ORD-10162,2025-05-13,C1062,Headphones,Accessories,West,4.0,2441.24,9764.98
ORD-10163,2025-05-14,C1059,Keyboard,Accessories,West,1.0,1645.61,1645.61
ORD-10164,2025-05-14,C1011,Keyboard,Accessories,North,4.0,1902.87,7611.49
ORD-10165,2025-05-15,C1066,Keyboard,Accessories,North,4.0,2087.61,8350.44
ORD-10166,2025-05-16,C1043,Webcam,Electronics,North,1.0,2898.79,2898.79
ORD-10167,2025-05-17,C1026,Keyboard,Accessories,North,4.0,1679.41,6717.62
ORD-10168,2025-05-18,C1041,Mouse,Accessories,West,5.0,916.95,4584.76
ORD-10169,2025-05-19,C1077,Keyboard,Accessories,West,5.0,2032.0,10160.0
ORD-10170,2025-05-19,,Laptop,Electronics,North,1.0,58643.65,58643.65
ORD-10171,2025-05-20,C1066,Laptop,Electronics,East,-2.0,66294.99,132589.98
ORD-10172,2025-05-21,C1037,Laptop,Electronics,North,2.0,74470.75,148941.51
ORD-10173,2025-05-22,,Webcam,Electronics,South,3.0,2777.15,8331.45
ORD-10174,2025-05-23,C1031,Webcam,Electronics,East,1.0,2872.05,2872.05
ORD-10175,2025-05-24,C1055,Headphones,Accessories,East,5.0,2415.28,12076.39
ORD-10176,2025-05-24,C1051,Monitor,Electronics,West,4.0,11500.24,46000.94
ORD-10177,2025-05-25,C1020,Webcam,Electronics,North,5.0,3408.03,17040.13
ORD-10178,2025-05-26,C1022,Mouse,Accessories,North,1.0,917.4,917.4
ORD-10179,2025-05-27,C1005,USB Hub,Electronics,South,1.0,943.8,943.8
ORD-10180,2025-05-28,C1012,Monitor,Electronics,South,5.0,12494.79,62473.97
ORD-10181,2025-05-28,C1035,USB Hub,Electronics,West,2.0,1049.18,2098.35
ORD-10182,2025-05-29,C1038,Mouse,Accessories,West,4.0,991.76,3967.04
ORD-10183,2025-05-30,C1014,Monitor,Electronics,south,5.0,11397.52,56987.58
ORD-10184,2025-05-31,C1033,Headphones,Accessories,West,1.0,2372.68,2372.68
ORD-10185,2025-06-01,C1048,Monitor,Electronics,South,1.0,12519.49,12519.49
ORD-10186,2025-06-02,C1019,Monitor,Electronics,East,1.0,12732.41,12732.41
ORD-10187,2025-06-02,C1027,Mouse,Accessories,South,1.0,932.26,932.26
ORD-10188,2025-06-03,C1030,Keyboard,Accessories,North,1.0,1557.27,1557.27
ORD-10189,2025-06-04,C1040,Mouse,Accessories,West,5.0,938.74,4693.69
ORD-10190,2025-06-05,C1029,Keyboard,Accessories,North,4.0,1651.06,6604.24
ORD-10191,2025-06-06,C1059,Headphones,Accessories,North,5.0,2547.06,12735.28
ORD-10192,2025-06-06,C1026,headphones,Accessories,North,5.0,2215.25,11076.27
ORD-10193,2025-06-07,C1035,Headphones,Accessories,South,5.0,2589.26,12946.32
ORD-10194,2025-06-08,C1030,Keyboard,Accessories,North,2.0,1683.85,3367.7
ORD-10195,2025-06-09,C1015,USB Hub,Electronics,North,,987.13,1974.26
ORD-10196,2025-06-10,C1055,laptop,Electronics,East,5.0,68711.86,343559.32
ORD-10197,2025-06-11,C1019,Keyboard,Accessories,West,2.0,1834.8,3669.59
ORD-10198,2025-06-11,C1024,Laptop,Electronics,North,20.0,494458.56,61807.32
ORD-10199,2025-06-12,C1063,Keyboard,Accessories,South,4.0,2008.97,8035.88
ORD-10200,2025-06-13,C1075,usb hub,Electronics,East,5.0,1061.22,5306.11
ORD-10201,2025-06-14,C1053,Keyboard,Accessories,West,5.0,1804.62,9023.12
ORD-10202,2025-06-15,C1073,USB Hub,Electronics,,5.0,1123.66,5618.32
ORD-10203,2025-06-16,C1068,Monitor,Electronics,West,1.0,11405.12,11405.12
ORD-10204,2025-06-16,C1038,Headphones,Accessories,East,4.0,2594.23,10376.91
ORD-10205,2025-06-17,C1061,Monitor,Electronics,South,5.0,11487.89,57439.43
ORD-10206,2025-06-18,C1026,Mouse,Accessories,North,4.0,870.36,3481.45
ORD-10207,2025-06-19,C1037,webcam,Electronics,West,5.0,3548.84,17744.18
ORD-10208,2025-06-20,C1043,USB Hub,Electronics,West,5.0,1008.43,5042.14
ORD-10209,2025-06-20,C1076,Mouse,Accessories,North,3.0,726.28,2178.84
ORD-10210,2025-06-21,C1068,Webcam,Electronics,East,1.0,3612.4,3612.4
ORD-10211,2025-06-22,C1039,Mouse,Accessories,North,3.0,1083.55,3250.65
ORD-10212,2025-06-23,C1052,Webcam,Electronics,East,,3096.25,6192.5
ORD-10213,2025-06-24,C1016,Webcam,Electronics,West,1.0,2704.17,2704.17
ORD-10214,2025-06-25,C1064,Monitor,Electronics,North,1.0,11701.94,11701.94
ORD-10215,2025-06-25,C1044,Webcam,Electronics,South,4.0,3126.73,12506.91
ORD-10216,2025-06-26,,Mouse,Accessories,North,3.0,886.33,2658.98
ORD-10217,2025-06-27,C1061,Laptop,Electronics,East,3.0,-500.0,177631.15
ORD-10218,2025-06-28,C1051,Laptop,Electronics,West,4.0,68013.72,272054.87
ORD-10219,2025-06-29,C1006,Monitor,Electronics,North,3.0,12503.53,37510.58
ORD-10220,2025-06-30,C1023,USB Hub,Electronics,South,4.0,968.49,3873.97
ORD-10013,2025-01-10,C1040,Webcam,Electronics,North,4.0,2731.29,10925.15
ORD-10056,2025-02-15,C1033,Laptop,Electronics,South,4.0,70532.03,282128.11
ORD-10102,2025-03-25,C1005,Mouse,Accessories,North,3.0,996.18,2988.53
